order_id,company_id,customer_id,order_date,total_amount,discount_amount,channel,status
1,2,55,2025-10-01,899.92,0,website,completed
2,2,15,2025-10-01,529.96,0,sales_rep,completed
3,2,56,2025-10-01,325.94,0,marketplace,completed
4,2,39,2025-10-01,89.99,0,marketplace,completed
5,2,63,2025-10-02,429.95,0,website,completed
6,2,8,2025-10-02,39.99,0,marketplace,completed
7,2,63,2025-10-02,355.92,0,website,completed
8,2,71,2025-10-02,535.92,0,marketplace,completed
9,2,40,2025-10-02,481.89,0,whatsapp,completed
10,2,16,2025-10-02,225.97,0,marketplace,completed
11,2,76,2025-10-02,395.96,0,marketplace,returned
12,2,43,2025-10-03,343.94,0,website,completed
13,2,70,2025-10-03,527.9,0,marketplace,completed
14,2,25,2025-10-04,549.93,0,website,completed
15,2,53,2025-10-04,129.99,0,whatsapp,completed
16,2,8,2025-10-04,179.98,0,whatsapp,completed
17,2,25,2025-10-04,519.96,0,marketplace,completed
18,2,24,2025-10-04,599.96,0,sales_rep,completed
19,2,71,2025-10-04,425.96,0,website,completed
20,2,22,2025-10-04,599.96,0,whatsapp,completed
21,2,8,2025-10-04,869.93,0,marketplace,completed
22,2,55,2025-10-05,269.97,0,whatsapp,completed
23,2,75,2025-10-05,79.99,0,website,completed
24,2,75,2025-10-05,245.96,0,whatsapp,completed
25,2,24,2025-10-05,659.93,0,website,completed
26,2,73,2025-10-05,149.99,0,marketplace,completed
27,2,54,2025-10-05,119.97,0,sales_rep,completed
28,2,34,2025-10-06,999.9,0,whatsapp,completed
29,2,10,2025-10-06,479.96,0,website,completed
30,2,65,2025-10-06,221.97,0,sales_rep,completed
31,2,48,2025-10-06,719.93,0,sales_rep,completed
32,2,14,2025-10-06,299.98,0,marketplace,completed
33,2,37,2025-10-07,389.97,0,marketplace,completed
34,2,65,2025-10-07,89.99,0,whatsapp,completed
35,2,55,2025-10-07,539.95,0,sales_rep,completed
36,2,21,2025-10-07,219.98,0,whatsapp,completed
37,2,10,2025-10-07,819.94,0,marketplace,completed
38,2,17,2025-10-07,269.97,0,website,completed
39,2,32,2025-10-08,563.92,0,website,completed
40,2,21,2025-10-08,159.98,0,marketplace,completed
41,2,43,2025-10-08,769.93,0,whatsapp,completed
42,2,14,2025-10-08,359.96,0,whatsapp,completed
43,2,59,2025-10-08,79.98,0,sales_rep,completed
44,2,25,2025-10-09,449.97,0,whatsapp,completed
45,2,45,2025-10-09,609.95,0,whatsapp,completed
46,2,23,2025-10-10,693.9,0,sales_rep,returned
47,2,56,2025-10-10,561.94,0,website,completed
